Catégorie;URL;Titre page;Mot-clé travaillé;Indexé (à vérifier)

=== PAGES PRINCIPALES ===;;;;
Accueil;/;Indiana Aflalo - Consultante SEO Freelance Nice;consultante seo freelance;
À propos;/a-propos;À propos - Indiana Aflalo;consultante seo nice;
Contact;/contact;Contact - IndHack;contact consultant seo;
FAQ;/faq;Questions fréquentes SEO;faq seo;
Études de cas;/etudes-de-cas;Études de cas SEO;études de cas seo;

=== PAGES LÉGALES ===;;;;
Légal;/mentions-legales;Mentions légales;mentions légales;
Légal;/confidentialite;Politique de confidentialité;confidentialité;
Légal;/cgv;Conditions générales de vente;cgv;

=== SILO CONSULTANT SEO ===;;;;
Page mère;/consultant-seo;Consultant SEO Freelance - Indiana Aflalo;consultant seo freelance;
Article;/blog/pourquoi-consultant-seo;Pourquoi faire appel à un consultant SEO en 2026 ?;pourquoi consultant seo;
Article;/blog/missions-consultant-seo;Quelles sont les missions d'un consultant SEO ?;missions consultant seo;
Article;/blog/devenir-consultant-seo;Comment devenir consultant SEO en 2026 ?;devenir consultant seo;
Article;/blog/salaire-consultant-seo;Salaire consultant SEO en 2026 : grilles et évolutions;salaire consultant seo;
Article;/blog/quelle-formation-seo;Quelle formation SEO choisir en 2026 ?;formation seo;

=== SILO AUDIT SEO ===;;;;
Page mère;/audit-seo;Audit SEO Complet - IndHack;audit seo;
Article;/blog/contenu-rapport-audit-seo;Que contient un rapport d'audit SEO professionnel ?;rapport audit seo;
Article;/blog/importance-audit-seo;Pourquoi l'audit SEO est le point de départ de votre croissance;pourquoi audit seo;
Article;/blog/audit-seo-erreurs-qui-coutent-cher;5 erreurs d'audit SEO qui coûtent cher;erreurs seo;

=== SILO RÉFÉRENCEMENT NATUREL ===;;;;
Page mère;/referencement-naturel;Référencement Naturel - IndHack;référencement naturel;
Article;/blog/checklist-seo-2026;Checklist SEO 2026 : les 30 points essentiels;checklist seo 2026;
Article;/blog/seo-vs-sea-que-choisir;SEO vs SEA : que choisir ?;seo vs sea;
Article;/blog/programmatic-seo-50-pages-locales;Programmatic SEO : créer 50 pages locales;programmatic seo;

=== SILO SEO LOCAL ===;;;;
Page mère;/seo-local;SEO Local - IndHack;seo local;
Article;/blog/seo-local-nice;SEO Local Nice : guide complet;seo local nice;
Article;/blog/google-business-profile-guide-complet;Google Business Profile : guide complet;google business profile;
Article;/blog/google-maps-voler-clients-concurrents;Comment voler les clients de vos concurrents sur Google Maps;seo google maps;

=== SILO GEO / VISIBILITÉ IA ===;;;;
Article;/blog/geo-comment-apparaitre-chatgpt-2026;GEO : comment apparaître dans ChatGPT en 2026;geo chatgpt seo;
Article;/blog/visibilite-ia-geo;GEO : être cité par ChatGPT et Gemini en 2026;visibilité ia seo;

=== SILO CRÉATION SITE WEB ===;;;;
Page mère;/creation-site-web;Création Site Web - IndHack;création site web;
Page fille;/creation-boutique-en-ligne;Création Boutique en Ligne - IndHack;création boutique en ligne;
Article;/blog/comment-creer-site-visible-google;Comment créer un site Internet visible sur Google en 2026 ?;créer site visible google;
Article;/blog/cout-site-web-2026;Combien coûte un site web en 2026 ?;prix site web 2026;
Article;/blog/pourquoi-votre-site-est-lent-performance-web-2026;Site web lent = clients perdus;site web lent;

=== SILO REFONTE SITE WEB ===;;;;
Page mère;/refonte-site-web;Refonte Site Web - IndHack;refonte site web;
Article;/blog/refonte-site-web-sans-perdre-seo;Refonte de site web : comment ne pas perdre son SEO ?;refonte site seo;
Article;/blog/checklist-seo-refonte-site;Checklist SEO : 45 points pour votre refonte;checklist refonte site;

=== PAGES VILLES (SEO Local) ===;;;;
Ville principale;/consultant-seo-nice;Consultant SEO Nice - Indiana Aflalo;consultant seo nice;
Ville;/consultant-seo-paris;Consultant SEO Paris;consultant seo paris;
Ville;/consultant-seo-lyon;Consultant SEO Lyon;consultant seo lyon;
Ville;/consultant-seo-marseille;Consultant SEO Marseille;consultant seo marseille;
Ville;/consultant-seo-bordeaux;Consultant SEO Bordeaux;consultant seo bordeaux;
Ville;/consultant-seo-toulouse;Consultant SEO Toulouse;consultant seo toulouse;
Ville;/consultant-seo-nantes;Consultant SEO Nantes;consultant seo nantes;
Ville;/consultant-seo-lille;Consultant SEO Lille;consultant seo lille;
Ville;/consultant-seo-montpellier;Consultant SEO Montpellier;consultant seo montpellier;
Ville;/consultant-seo-rennes;Consultant SEO Rennes;consultant seo rennes;
Ville;/consultant-seo-strasbourg;Consultant SEO Strasbourg;consultant seo strasbourg;
Ville;/consultant-seo-grenoble;Consultant SEO Grenoble;consultant seo grenoble;
Ville Côte d'Azur;/consultant-seo-cannes;Consultant SEO Cannes;consultant seo cannes;
Ville Côte d'Azur;/consultant-seo-antibes;Consultant SEO Antibes;consultant seo antibes;
Ville Côte d'Azur;/consultant-seo-juan-les-pins;Consultant SEO Juan-les-Pins;consultant seo juan les pins;
Ville Côte d'Azur;/consultant-seo-monaco;Consultant SEO Monaco;consultant seo monaco;
Ville Côte d'Azur;/consultant-seo-sophia-antipolis;Consultant SEO Sophia Antipolis;consultant seo sophia antipolis;
Ville;/consultant-seo-aix-en-provence;Consultant SEO Aix-en-Provence;consultant seo aix en provence;
Ville;/consultant-seo-boulogne-billancourt;Consultant SEO Boulogne-Billancourt;consultant seo boulogne billancourt;

=== OUTILS SEO GRATUITS ===;;;;
Page mère;/outils;Outils SEO Gratuits - IndHack;outils seo gratuits;
Outil;/outils/audit-seo-gratuit;Audit SEO Gratuit - Score en 30 secondes;audit seo gratuit;
Outil;/outils/testeur-visibilite-ia;Testeur de Visibilité IA - Êtes-vous visible par ChatGPT ?;testeur visibilité ia;
Outil;/outils/simulateur-visibilite-locale;Simulateur de Visibilité Locale;simulateur seo local;
Outil;/outils/generateur-robots-txt;Générateur robots.txt 2026;générateur robots.txt;
Outil;/outils/generateur-schema-json-ld;Générateur Schema JSON-LD;générateur schema json-ld;
Outil;/outils/extracteur-mots-cles;Extracteur de mots-clés gratuit;extracteur mots-clés;

=== RESSOURCES ===;;;;
PDF;/downloads/checklist-seo-2026.pdf;Checklist SEO 2026 (PDF);checklist seo pdf;

=== PAGES SYSTÈME ===;;;;
Blog listing;/blog;Blog SEO - IndHack;blog seo;
Sitemap;/sitemap.xml;Sitemap XML;;
