URL;Mot-clé principal;Volume recherche;KD;Mots-clés longue traîne;Maillage interne (liens sortants);Photos/Exifs;Résumé page;Contenu unique

=== PAGES SERVICES ===;;;;;;;;
/consultant-seo;consultant seo freelance;2900;45;consultante seo nice, expert référencement naturel;✅ 15+ liens (audit-seo, referencement-naturel, seo-local, villes, outils);Photo Indiana optimisée;Page mère expertise - présentation services consultant SEO;✅ Unique
/audit-seo;audit seo;1900;38;audit seo gratuit, diagnostic seo site web;✅ 12+ liens (3 articles silo, outils audit, consultant-seo);Image dashboard SEO;Service audit technique et sémantique complet;✅ Unique
/referencement-naturel;référencement naturel;6600;52;stratégie seo, optimisation seo;✅ 10+ liens (consultant-seo, audit-seo, articles GEO);Image SEO;Service référencement naturel complet;✅ Unique
/seo-local;seo local;1300;35;référencement local google maps;✅ 20+ liens (toutes villes, articles local, simulateur);Icônes villes;Page mère SEO local avec liens vers toutes les villes;✅ Unique
/creation-site-web;création site web;5400;48;création site web nice, site internet professionnel;✅ 12+ liens (3 articles silo, refonte, outils);Images process;Service création site web optimisé SEO;✅ Unique
/refonte-site-web;refonte site web;1600;32;refonte site web seo, migration site;✅ 10+ liens (2 articles silo, creation-site, audit);Image dashboard;Service refonte avec migration SEO sécurisée;✅ Unique

=== PAGES OUTILS ===;;;;;;;;
/outils/audit-seo-gratuit;audit seo gratuit;2400;28;test seo gratuit, analyse site web gratuit;✅ 8+ liens (audit-seo, articles audit, consultant);Captures outil;Outil audit SEO instantané PageSpeed;✅ Unique
/outils/testeur-visibilite-ia;testeur visibilité ia;320;12;chatgpt seo test, perplexity visibility;✅ 6+ liens (articles GEO, referencement-naturel);Icônes IA;Outil test crawlers IA (GPTBot, etc);✅ Unique
/outils/simulateur-visibilite-locale;simulateur seo local;210;15;pack local simulateur, google maps test;✅ 6+ liens (seo-local, articles local, villes);Carte France;Outil simulation résultats locaux;✅ Unique
/outils/generateur-robots-txt;générateur robots.txt;480;18;créer robots.txt, robots.txt generator;✅ 4+ liens (articles GEO, testeur-ia);Icône fichier;Générateur robots.txt optimisé IA;✅ Unique
/outils/generateur-schema-json-ld;générateur schema json-ld;390;22;schema markup generator, données structurées;✅ 4+ liens (audit-seo, creation-site);Icône code;Générateur schémas JSON-LD;✅ Unique
/outils/extracteur-mots-cles;extracteur mots-clés;590;20;analyse mots-clés texte, keyword density;✅ 4+ liens (referencement-naturel, consultant);Icône analyse;Extracteur et analyseur de mots-clés;✅ Unique

=== ARTICLES BLOG - SILO AUDIT SEO ===;;;;;;;;
/blog/contenu-rapport-audit-seo;rapport audit seo;390;25;exemple rapport audit seo, contenu audit seo pdf;✅ 10+ liens (audit-seo, importance-audit, erreurs-audit, outils, checklist);N/A;Guide complet du contenu d'un rapport d'audit SEO professionnel;✅ Unique
/blog/importance-audit-seo;pourquoi audit seo;260;22;audit seo pme, roi audit seo;✅ 12+ liens (contenu-rapport, erreurs-audit, audit-seo, outils, villes);N/A;Argumentaire ROI de l'audit SEO pour PME;✅ Unique
/blog/audit-seo-erreurs-qui-coutent-cher;erreurs seo;480;28;erreurs seo techniques, pénalités google;✅ 10+ liens (importance-audit, contenu-rapport, audit-seo, outils);N/A;9 erreurs SEO critiques et leurs corrections;✅ Unique

=== ARTICLES BLOG - SILO CONSULTANT SEO ===;;;;;;;;
/blog/devenir-consultant-seo;devenir consultant seo;720;35;formation consultant seo, reconversion seo;✅ 8+ liens (salaire, missions, formation, consultant-seo);N/A;Guide complet pour devenir consultant SEO en 2026;✅ Unique
/blog/missions-consultant-seo;missions consultant seo;320;28;rôle consultant seo, travail seo;✅ 8+ liens (pourquoi-consultant, devenir, salaire, consultant-seo);N/A;Description détaillée des missions d'un consultant SEO;✅ Unique
/blog/salaire-consultant-seo;salaire consultant seo;1300;32;tjm consultant seo, rémunération seo;✅ 8+ liens (devenir, missions, formation, consultant-seo);N/A;Grilles salariales et TJM consultant SEO 2026;✅ Unique
/blog/pourquoi-consultant-seo;pourquoi consultant seo;210;20;faire appel consultant seo, avantages seo;✅ 8+ liens (missions, salaire, devenir, consultant-seo);N/A;Argumentaire pour faire appel à un consultant SEO;✅ Unique
/blog/quelle-formation-seo;formation seo;880;30;cours seo gratuit, certification seo;✅ 6+ liens (devenir, missions, consultant-seo);N/A;Comparatif formations SEO en France 2026;✅ Unique

=== ARTICLES BLOG - SILO SEO LOCAL/GEO ===;;;;;;;;
/blog/seo-local-nice;seo local nice;170;18;référencement nice, google maps nice;✅ 8+ liens (google-maps-voler, gbp-guide, seo-local, simulateur);N/A;Guide SEO local spécifique à Nice et Côte d'Azur;✅ Unique
/blog/google-business-profile-guide-complet;google business profile;2400;38;fiche google, google my business;✅ 8+ liens (google-maps-voler, seo-local-nice, seo-local, simulateur);N/A;Guide complet optimisation fiche Google Business;✅ Unique
/blog/google-maps-voler-clients-concurrents;seo google maps;590;32;dominer google maps, concurrents local;✅ 8+ liens (gbp-guide, seo-local-nice, seo-local, simulateur);N/A;Techniques avancées pour dominer Google Maps;✅ Unique
/blog/geo-comment-apparaitre-chatgpt-2026;geo chatgpt seo;480;25;apparaitre chatgpt, perplexity seo;✅ 12+ liens (visibilite-ia, testeur-ia, robots-txt, referencement);N/A;Guide GEO pour visibilité dans ChatGPT/Perplexity;✅ Unique
/blog/visibilite-ia-geo;visibilité ia seo;320;22;seo ia, gemini seo, ai overviews;✅ 8+ liens (geo-chatgpt, testeur-ia, referencement-naturel);N/A;Stratégie GEO complète pour moteurs IA;✅ Unique

=== ARTICLES BLOG - SILO REFONTE ===;;;;;;;;
/blog/refonte-site-web-sans-perdre-seo;refonte site seo;480;30;migration seo, redirections 301;✅ 8+ liens (checklist-refonte, refonte-site-web, audit-seo);N/A;Guide refonte de site sans perte de trafic SEO;✅ Unique
/blog/checklist-seo-refonte-site;checklist refonte site;390;25;checklist migration seo, points contrôle refonte;✅ 8+ liens (refonte-sans-perdre, refonte-site-web, audit-seo);N/A;45 points de contrôle pour refonte SEO-safe;✅ Unique

=== ARTICLES BLOG - SILO CRÉATION ===;;;;;;;;
/blog/comment-creer-site-visible-google;créer site visible google;720;35;site internet première page, seo création site;✅ 8+ liens (cout-site, performance-web, creation-site-web, audit);N/A;Guide création site optimisé SEO dès conception;✅ Unique
/blog/cout-site-web-2026;prix site web 2026;1600;28;tarif création site, devis site web;✅ 8+ liens (creer-site-visible, performance-web, creation-site-web);N/A;Guide complet des tarifs création site web 2026;✅ Unique
/blog/pourquoi-votre-site-est-lent-performance-web-2026;site web lent;590;32;core web vitals, pagespeed;✅ 12+ liens (cout-site, creer-site-visible, creation-site, refonte, geo);N/A;Comparatif performances WordPress vs Next.js;✅ Unique

=== ARTICLES BLOG - AUTRES ===;;;;;;;;
/blog/checklist-seo-2026;checklist seo 2026;720;30;audit seo checklist, points seo essentiels;✅ 8+ liens (audit-seo, outils, articles audit);N/A;30 points essentiels SEO 2026;✅ Unique
/blog/seo-vs-sea-que-choisir;seo vs sea;1300;35;référencement naturel vs payant, google ads vs seo;✅ 6+ liens (referencement-naturel, consultant-seo);N/A;Comparatif SEO vs SEA pour entreprises;✅ Unique
/blog/programmatic-seo-50-pages-locales;programmatic seo;320;28;pages locales seo, landing pages dynamiques;✅ 6+ liens (consultant-seo, seo-local);N/A;Guide création pages locales scalables;✅ Unique

=== PAGES VILLES (sélection) ===;;;;;;;;
/consultant-seo-nice;consultant seo nice;720;38;seo nice, référencement nice 06;✅ 15+ liens (seo-local, villes voisines, articles, outils);Photo ville;Page locale consultant SEO Nice - contenu enrichi quartiers;✅ Unique
/consultant-seo-paris;consultant seo paris;2400;55;expert seo paris, agence seo paris;✅ 15+ liens (seo-local, consultant-seo, articles);Photo ville;Page locale consultant SEO Paris;✅ Unique
/consultant-seo-lyon;consultant seo lyon;880;42;seo lyon, référencement lyon;✅ 15+ liens (seo-local, villes voisines, articles);Photo ville;Page locale consultant SEO Lyon;✅ Unique
/consultant-seo-marseille;consultant seo marseille;590;40;seo marseille, référencement marseille;✅ 15+ liens (seo-local, villes voisines, articles);Photo ville;Page locale consultant SEO Marseille;✅ Unique
/consultant-seo-cannes;consultant seo cannes;210;25;seo cannes, référencement cannes;✅ 15+ liens (seo-local, nice, sophia, articles);Photo ville;Page locale consultant SEO Cannes - luxe/événementiel;✅ Unique
/consultant-seo-sophia-antipolis;consultant seo sophia antipolis;170;22;seo sophia antipolis, tech sophia;✅ 15+ liens (seo-local, nice, cannes, articles);Photo ville;Page locale consultant SEO Sophia - startups tech;✅ Unique
/consultant-seo-grenoble;consultant seo grenoble;320;32;seo grenoble, référencement grenoble;✅ 15+ liens (seo-local, articles, outils);Photo ville;Page locale enrichie - Minatec, Europole, deeptech;✅ Unique
/consultant-seo-bordeaux;consultant seo bordeaux;480;38;seo bordeaux, référencement bordeaux;✅ 15+ liens (seo-local, articles);Photo ville;Page locale consultant SEO Bordeaux;✅ Unique
/consultant-seo-toulouse;consultant seo toulouse;480;38;seo toulouse, référencement toulouse;✅ 15+ liens (seo-local, articles);Photo ville;Page locale consultant SEO Toulouse - aéro/spatial;✅ Unique
